,city,popu_string
1007,Калужская,30839.0
1008,Большое Сорокино,5317.0
1009,Ильинская,6632.0
1010,Фершампенуаз,4368.0
1011,Ермолаево,
1012,Озинки,8717.0
1013,Кисляковская,5145.0
1014,Юца,9427.0
1015,Супсех,6669.0
1016,Колодезный,
1017,Бохан,
1018,Туринская Слобода,
1019,Терновка,28702.0
1020,Дебёсы,5778.0
1021,Каратузское,7456.0
1022,Южный,32100.0
1023,Большой Улуй,3340.0
1024,Еманжелинка,
1025,Брейтово,3308.0
1026,Безопасное,6598.0
1027,Московский,53417.0
1028,Тоншаево,4581.0
1029,Осиново,5351935.0
1030,Труновское,14927.0
1031,Грачёвка,
1032,Одесское,6148.0
1033,Новотроицкая,95139.0
1034,Персиановский,15754.0
1035,Ливенка,3870.0
1036,Шаля,
1037,Гирей,
1038,Камышла,26444.0
1039,Крутиха,3684.0
1040,Шалинское,3932.0
1041,Кропачево,4531.0
1042,Алзамай,6040.0
1043,Большая Орловка,49674.0
1044,Мелиховская,3593.0
1045,Субханкулово,5598.0
1046,Елховка,85476.0
1047,Зауральский,7525.0
1048,Пономарёвка,
1049,Шварцевский,4780.0
1050,Надежда,
1051,Прасковея,10872.0
1052,Новоукраинское,16858.0
1053,Косиха,
1054,Ивановское,1796.0
1055,Билимбай,6044.0
1056,Агой,2662.0
1057,Никологоры,4977.0
1058,Тевриз,6893.0
1059,Челно-Вершины,5747.0
1060,Калниболотская,5722.0
1061,Ростовка,
1062,Сибирский,77989.0
1063,Стрелица,
1064,Ермекеево,3937.0
1065,Береславка,139.0
1066,Грицовский,5877.0
1067,Межгорье,15861.0
1068,Оконешниково,4825.0
1069,Петра Дубрава,6998.0
1070,Александров Гай,9728.0
1071,Хохол,
1072,Тумботино,6855.0
1073,Новогуровский,3447.0
1074,Красные Ткачи,4235.0
1075,Питерка,5439.0
1076,Яр,13721.0
1077,Адамовка,8749.0
1078,Романовская,
1079,Хворостянка,5161.0
1080,Большая Мурта,7888.0
1081,Лысогорская,11198.0
1082,Идринское,5135.0
1083,Вагай,
1084,Козулька,7833.0
1085,Клявлино,6967.0
1086,Бурмакино,14475.0
1087,Плешаново,
1088,Новый Рогачик,6992.0
1089,Пески,
1090,Зольская,9330.0
1091,Усть-Калманка,6200.0
1092,Тимашево,
